bangla,classes
  যত ভয়ের ব্যাপারটি নিয়ে মজা করছি তত ভয়  লাগছে ,fear
  দ্য স্যাক্রেড ব্যান্ড অফ থিবস    জনের দুর্ধর্ষ এক যোদ্ধাদল ইতিহাসের পাতায় মুহূর্তের মধ্যে হারিয়ে গেল তরুণ আলেকজান্ডারের মুখোমুখি হয়ে ,sadness
 আকবর আলীর ভবিষ্যতে কি লেখা আছে জানিনা তবে তার যেই ধৈর্য্য এমন ধৈর্য্য আমাদের সিনিয়র একটা প্লেয়ারের ও নাই টু বি অনেস্ট ,joy
 আমাদের সমাজ শেষ করে দিছে  যারা সেবন করে তারাও মরবে  আর বাকি মানুষ দেরও মারবে  এই সব কম্পানি বন্ধ করে দেওয়া দরকার  আর যারা এইসব কিছু সেবন করে তাদের মাদক নিরাময় বা চিকিৎসা কেন্দ্রে যাওয়া দরকার  নিজে মাদক থেকে মুক্ত থাকুন আর অন্য কে বাঁচান এই বিষ থেকে ,fear
 আমার ক্ষেত্রে ও এমন হয়েছিল যেখানে ফেল যাওয়ার কথা সেখানে  পয়েন্ট  পেয়েছিলাম  আমি অনেক এক্সাইটেড ছিলাম  ভেবেছিলাম ফ্যামিলির সবাই খুশি হবে কিন্তু তা না উল্টো বকাবকি করেছিল অনেক ,sadness
 আমার চোখে দামী সান গ্লাস থাকা সত্বেও চোখ একেবারে ধাঁধিয়ে গেল  সত্যিই সে এক জ্বলন্ত শ্বেত সৌন্দর্য্য  ,surprise
 আমার প্রতিবাদী ভাইয়েরা এসব নিয়ে আঙ্গুল তুলতে দেখি না  শুধু এটাই দেখি তাদের রক্তে নাকি বঙ্গবন্ধুর আদর্শ  হায়রে সেলুকাস  দেশ আমার,disgust
 আমি নিজেও পোস্ট করেছিলাম এই নিয়ে কিন্তু কিছু করার নাই  এই পোস্টের লাইক লাভ দেওয়া জনগণই সিগারেট খায়  এসব শুধু বলেই যাইতে হবে  কাজের কাজ হবে না ,disgust
 আমিও  অনেক  ইন্টারেষ্টিং  হবে  মনে  করসিলাম   পরে  দেখতে  গিয়ে  একটুও  ভালো  লাগসে  নাই   তাই  হাফ  দেখে  অফ  করে  দিসি,disgust
 আলেকজান্ডার যদি এশিয়ার মালিক হতে চান  তবে তাকে অবশ্যই আগে বেসাসের শেষ দেখে ছাড়তে হবে  আলেকজান্ডারের সিদ্ধান্ত দেখে মেসিডন বাহিনীর মধ্যে অসন্তোষ দেখা গেলেও কেউ এ সিদ্ধান্তের বিরোধিতা করেনি ,disgust
 আসল প্লান ছিলো ছবি তোলা হবে চট্টগ্রাম এ  পরে হৃদিতা এর পরীক্ষা এর জন্য এই শুট এর সময় আর জায়গা  বার চেঞ্জ হয়েছে  পরে অনেক কষ্টে সময় ম্যানেজ করে ঢাকার পাশেই অল্প কিছু ছবি তোলা হয় ,sadness
 ইউরোপজুড়ে ছড়িয়ে থাকা নাৎসি কন্সেন্ট্রেশন ক্যাম্প থেকে টাকা  পাসপোর্ট  দলিল জালিয়াতের অভিযোগে গ্রেফতার ইহুদিদের খুঁজে বের করেন ,disgust
 এটা তো দুনিয়া  এই পৃথিবীতে ভালোবাসা আছে  প্রিয় মানুষ আছে  প্রাণের বন্ধন আছে  দুঃখের সময়ে পাশে থাকার লোক আছে  এতকিছু থাকার পরও একটি প্রাণঘাতী ভাইরাস কীভাবে মানুষকে আত্মকেন্দ্রিক করে চলেছে  ভেবেছেন  ভয় একটাই–কাছে গেলে আমিও আক্রান্ত হতে পারি  আক্রান্ত হলে মারা যেতে পারি  তুমি আক্রান্ত হয়েছো  তুমিই মরো  আমি দূরেই থাকি  আপাতত বেঁচে যাই দুনিয়াতেই যদি এমন হয়  তাহলে আখেরাতে কেমন হতে পারে ,fear
 এদিক ওদিক করে দেরি করছি—ভয়ে কি  কাজে ভুল থেকে যায় যদি,fear
 এমন বিদঘুটে আওয়াজ হল যে আম্মু আর আমি ভয়ে এক জন আরেক জন কে ধরে কাপছিলাম  উঠে যে লাইট জ্বালাবো  সেই সাহস পাচ্ছিলাম না ,fear
 ওভাই    কোন  অঞ্চলের বাংলা  ভাষা     না মানে বুঝতে পারসিনাঃ  ভাই   জানতে মন চাইলো    ,joy
 ওর ঘরে গিয়ে দেখি ওর ঘাড়ের মাংস অর্ধেক  নেই আর মেঝেতে রক্ত পড়ে আছে  শিবানি আর শিবানি নেই  দিলাম এক চিৎকার দিয়ে দৈৗড় আমার কাকাদের বাসার দিকে,fear
 ওর ফিল দেইখা আমার গা শির শির করতেছে   মনে হইতাছে আমার কানেও কেউ গুতাইতাছে ,disgust
 কষ্টের কথা কেউ এতটা হাসতে হাসতে বলে তা আগে দেখেনি  ,sadness
 কিন্তু কিছুদূর যেতেই  হঠাৎ মট মট শব্দ করে তাদের একেবারে পায়ের সামনে এসে পড়ল একটা ঝোপড়াল জামের ডাল   তাই থমকে দাঁড়াল তারা  ,surprise
 খুব বাজে একটা গন্ধ নাকে লাগছিল   হঠাৎ    আবিষ্কার করলাম  কে যেন আমার ঘাড়ে বসে আছে   ,fear
 চারিদিক থেকে ভয়ের অনূভুতি গ্রাস করলো তাকে হাটার শক্তিও মনে হলো কেউ কমিয়ে দিয়েছে ,fear
 জাপানের দুই নাগরিক বাংলাদেশ ও বাংলা ভাষাকে অনেক ভালোবাসে কিন্তু আমরা বাংলার সন্তান হয়ে কখনই বাংলা ভাষা এবং বাংলাদেশকে ভালবাসতে শিখিনি,sadness
 জিম্বাবুয়ে  আফগান ওমান হংকং এর সাথে জেতার থেকে ওদের সাথে হারলে বেশি খুশি হই এখন কারণ বর্তমান টিম এটাই ডিজার্ভ করে এখন ,disgust
